ProbeName	6302A	6302B	6302C	6302D
1-1320	2.18E+04	2.02E+04	9.77E+03	2.71E+04
1-1320	2.49E+04	1.94E+04	2.69E+04	2.65E+04
1-1320	2.41E+04	2.04E+04	2.54E+04	2.53E+04
1-1320	2.40E+04	2.05E+04	2.64E+04	2.73E+04
1000307-1000843	5.24E+04	2.61E+04	3.18E+04	1.82E+04
1000307-1000843	4.67E+04	2.66E+04	3.28E+04	1.82E+04
1000307-1000843	4.71E+04	2.68E+04	3.36E+04	1.70E+04
1000307-1000843	4.62E+04	2.90E+04	3.31E+04	1.76E+04
1000875-1001264	5.56E+04	2.81E+04	2.88E+04	2.46E+04
1000875-1001264	5.47E+04	2.79E+04	4.21E+04	2.30E+04
1000875-1001264	5.22E+04	2.66E+04	4.38E+04	2.61E+04
1000875-1001264	4.96E+04	2.72E+04	4.02E+04	2.25E+04
1001301-1001687	4.35E+04	2.16E+04	4.76E+04	3.14E+04
1001301-1001687	4.48E+04	2.21E+04	4.00E+04	2.76E+04
1001301-1001687	3.95E+04	2.07E+04	3.91E+04	3.08E+04
1001301-1001687	4.25E+04	2.07E+04	4.40E+04	2.91E+04
1001814-1003256	4.29E+03	3.50E+03	7.46E+03	4.31E+03
1001814-1003256	4.55E+03	3.67E+03	5.92E+03	4.08E+03
1001814-1003256	4.55E+03	3.62E+03	6.34E+03	4.35E+03
1001814-1003256	4.59E+03	3.74E+03	6.24E+03	4.33E+03
1003553-1004368	1.81E+03	1.80E+03	1.56E+03	1.77E+03
1003553-1004368	1.89E+03	1.58E+03	1.76E+03	1.68E+03
1003553-1004368	2.01E+03	1.70E+03	1.54E+03	1.56E+03
1003553-1004368	1.93E+03	1.79E+03	1.53E+03	1.61E+03
1004970-1006154	7.34E+03	5.74E+03	9.44E+03	1.01E+04
1004970-1006154	7.45E+03	5.83E+03	1.06E+04	1.08E+04
1004970-1006154	7.51E+03	5.93E+03	1.11E+04	1.07E+04
1004970-1006154	7.15E+03	5.65E+03	8.78E+03	8.58E+03
1008103-1009296	1.55E+04	2.10E+04	2.12E+04	1.77E+04
1008103-1009296	1.59E+04	2.18E+04	2.15E+04	1.66E+04
1008103-1009296	1.81E+04	2.22E+04	2.16E+04	1.84E+04
1008103-1009296	1.82E+04	2.21E+04	2.11E+04	1.74E+04
1009321-1011246	1.75E+04	1.75E+04	2.34E+04	2.30E+04
1009321-1011246	2.10E+04	1.98E+04	2.27E+04	2.24E+04
1009321-1011246	2.16E+04	2.07E+04	2.65E+04	2.21E+04
1009321-1011246	1.97E+04	1.99E+04	2.48E+04	2.10E+04
1011268-1012263	2.62E+04	1.71E+04	3.14E+04	3.31E+04
1011268-1012263	2.66E+04	1.73E+04	3.45E+04	2.95E+04
1011268-1012263	2.57E+04	1.73E+04	3.16E+04	3.17E+04
1011268-1012263	2.61E+04	1.80E+04	3.04E+04	3.12E+04
1012613-1013062	5.30E+03	5.56E+03	5.19E+03	4.70E+03
1012613-1013062	6.22E+03	5.85E+03	4.60E+03	4.90E+03
1012613-1013062	5.33E+03	5.79E+03	4.43E+03	5.72E+03
1012613-1013062	5.66E+03	5.21E+03	4.72E+03	5.44E+03
1013096-1013590	7.39E+03	6.14E+03	7.31E+03	7.79E+03
1013096-1013590	6.93E+03	6.81E+03	7.99E+03	6.99E+03
1013096-1013590	6.92E+03	6.07E+03	8.42E+03	7.86E+03
1013096-1013590	7.01E+03	6.06E+03	8.98E+03	8.50E+03
1013687-1014208	1.16E+04	1.03E+04	1.48E+04	1.27E+04
1013687-1014208	1.26E+04	1.11E+04	1.37E+04	1.41E+04
1013687-1014208	1.24E+04	1.22E+04	1.45E+04	1.40E+04
1013687-1014208	1.19E+04	1.18E+04	1.34E+04	1.26E+04
1014397-1014708	1.29E+04	1.17E+04	1.16E+04	1.20E+04
1014397-1014708	1.22E+04	1.15E+04	1.14E+04	1.23E+04
1014397-1014708	1.22E+04	1.14E+04	1.28E+04	1.13E+04
1014397-1014708	1.17E+04	1.11E+04	1.25E+04	1.15E+04
1014736-1015422	8.38E+03	7.36E+03	1.14E+04	1.06E+04
1014736-1015422	1.07E+04	7.71E+03	1.04E+04	1.13E+04
1014736-1015422	9.94E+03	7.56E+03	1.04E+04	1.05E+04
1014736-1015422	1.15E+04	7.98E+03	9.13E+03	1.03E+04
1015654-1016538	4.39E+03	5.81E+03	4.87E+03	4.74E+03
1015654-1016538	4.24E+03	5.78E+03	5.46E+03	4.75E+03
1015654-1016538	3.68E+03	5.96E+03	5.06E+03	4.71E+03
1015654-1016538	4.02E+03	5.65E+03	5.09E+03	4.48E+03
1016637-1017812	4.17E+04	3.01E+04	4.88E+04	4.46E+04
1016637-1017812	4.19E+04	2.89E+04	4.48E+04	4.70E+04
1016637-1017812	4.22E+04	2.78E+04	4.74E+04	4.32E+04
1016637-1017812	4.08E+04	2.97E+04	4.17E+04	4.41E+04
1017940-1018794	4.10E+03	4.18E+03	4.90E+03	4.46E+03
1017940-1018794	4.03E+03	4.24E+03	5.13E+03	4.86E+03
1017940-1018794	2.96E+03	4.11E+03	6.10E+03	4.15E+03
1017940-1018794	4.02E+03	4.27E+03	5.21E+03	4.44E+03
1018838-1020073	1.99E+03	3.20E+03	2.57E+03	1.87E+03
1018838-1020073	2.15E+03	3.14E+03	2.18E+03	2.48E+03
1018838-1020073	1.92E+03	3.18E+03	2.34E+03	1.80E+03
1018838-1020073	1.53E+03	3.43E+03	2.13E+03	1.83E+03
1020174-1021115	3.48E+04	4.07E+04	3.60E+04	3.26E+04
1020174-1021115	3.08E+04	4.00E+04	3.46E+04	3.06E+04
1020174-1021115	3.14E+04	4.09E+04	3.60E+04	3.27E+04
1020174-1021115	3.20E+04	4.13E+04	3.73E+04	3.23E+04
1021974-1022894	1.41E+03	1.09E+03	1.27E+03	1.32E+03
1021974-1022894	1.37E+03	1.10E+03	1.16E+03	1.20E+03
1021974-1022894	1.52E+03	1.05E+03	1.39E+03	1.28E+03
1021974-1022894	1.54E+03	1.14E+03	1.52E+03	1.36E+03
1023154-1023588	1.22E+03	8.36E+02	9.62E+02	1.12E+03
1023154-1023588	1.22E+03	9.39E+02	1.10E+03	1.09E+03
1023154-1023588	1.29E+03	8.77E+02	1.10E+03	1.17E+03
1023154-1023588	1.15E+03	8.84E+02	1.08E+03	9.41E+02
1023611-1025146	6.30E+02	8.36E+02	1.03E+03	9.20E+02
1023611-1025146	5.76E+02	7.49E+02	8.35E+02	8.78E+02
1023611-1025146	9.47E+02	8.01E+02	1.02E+03	1.07E+03
1023611-1025146	7.29E+02	8.36E+02	8.26E+02	7.71E+02
102481-102792	2.51E+05	2.52E+05	3.03E+05	2.53E+05
102481-102792	2.88E+05	2.74E+05	3.00E+05	2.75E+05
102481-102792	2.34E+05	2.73E+05	3.09E+05	2.74E+05
102481-102792	2.54E+05	2.58E+05	2.76E+05	2.51E+05
1025230-1026597	4.16E+03	3.54E+03	5.25E+03	4.31E+03
1025230-1026597	3.92E+03	3.67E+03	5.24E+03	4.27E+03
1025230-1026597	3.60E+03	3.60E+03	5.40E+03	5.08E+03
1025230-1026597	3.96E+03	4.16E+03	4.97E+03	4.98E+03
1026632-1026856	1.64E+04	1.17E+04	1.59E+04	1.77E+04
1026632-1026856	1.32E+04	1.14E+04	1.58E+04	1.76E+04
1026632-1026856	1.68E+04	1.18E+04	1.63E+04	1.76E+04
1026632-1026856	1.64E+04	1.11E+04	1.62E+04	1.57E+04
1028468-1029454	3.68E+04	3.69E+04	4.65E+04	4.30E+04
1028468-1029454	3.50E+04	3.56E+04	4.94E+04	4.30E+04
1028468-1029454	3.26E+04	3.58E+04	4.59E+04	4.14E+04
1028468-1029454	3.68E+04	3.76E+04	4.71E+04	3.95E+04
102884-103513	2.47E+05	2.18E+05	2.56E+05	2.07E+05
102884-103513	2.34E+05	2.09E+05	2.39E+05	2.12E+05
102884-103513	2.39E+05	2.25E+05	2.36E+05	2.25E+05
102884-103513	2.16E+05	1.99E+05	2.34E+05	2.23E+05
1029438-1030349	7.27E+04	5.72E+04	7.41E+04	7.65E+04
1029438-1030349	7.35E+04	6.18E+04	7.35E+04	7.93E+04
1029438-1030349	6.99E+04	5.58E+04	7.75E+04	7.25E+04
1029438-1030349	6.06E+04	5.65E+04	6.86E+04	7.50E+04
1030462-1032030	4.83E+04	3.92E+04	5.94E+04	5.16E+04
1030462-1032030	4.44E+04	3.87E+04	4.98E+04	5.14E+04
1030462-1032030	4.52E+04	3.92E+04	5.67E+04	4.67E+04
1030462-1032030	4.66E+04	3.96E+04	5.80E+04	5.49E+04
1032105-1033130	3.92E+04	4.89E+04	4.70E+04	4.20E+04
1032105-1033130	4.01E+04	5.05E+04	4.91E+04	4.25E+04
1032105-1033130	4.00E+04	5.42E+04	4.58E+04	4.59E+04
1032105-1033130	3.67E+04	4.94E+04	4.61E+04	4.62E+04
103513-104166	2.79E+05	2.62E+05	3.09E+05	3.07E+05
103513-104166	2.87E+05	2.25E+05	2.95E+05	2.81E+05
103513-104166	2.93E+05	2.34E+05	3.16E+05	3.00E+05
103513-104166	3.11E+05	2.64E+05	2.87E+05	2.68E+05
1037298-1037927	3.57E+02	1.41E+02	2.17E+02	1.73E+02
1037298-1037927	2.97E+02	1.81E+02	1.01E+03	1.13E+02
1037298-1037927	3.04E+02	1.84E+02	1.73E+02	1.66E+02
1037298-1037927	3.91E+02	1.68E+02	2.01E+02	1.99E+02
1038062-1038388	3.72E+02	7.72E+02	1.16E+03	4.15E+02
1038062-1038388	4.16E+02	3.30E+02	4.73E+02	4.41E+02
1038062-1038388	3.96E+02	3.04E+02	4.41E+02	3.24E+02
1038062-1038388	4.72E+02	3.54E+02	3.91E+02	5.43E+02
1038389-1039693	6.97E+02	9.25E+02	5.24E+02	1.15E+03
1038389-1039693	7.98E+02	1.02E+03	1.10E+03	9.34E+02
1038389-1039693	7.92E+02	8.84E+02	1.20E+03	8.94E+02
1038389-1039693	6.86E+02	9.09E+02	1.09E+03	8.78E+02
1039717-1040046	8.36E+02	9.56E+02	1.10E+03	1.37E+03
1039717-1040046	1.02E+03	1.13E+03	1.07E+03	9.91E+02
1039717-1040046	1.03E+03	1.06E+03	1.14E+03	1.50E+03
1039717-1040046	9.28E+02	1.05E+03	1.27E+03	1.01E+03
1040194-1041522	2.47E+03	1.90E+03	2.74E+03	2.39E+03
1040194-1041522	2.39E+03	1.93E+03	3.08E+03	2.41E+03
1040194-1041522	2.40E+03	1.91E+03	2.22E+03	2.58E+03
1040194-1041522	2.54E+03	1.95E+03	2.13E+03	2.31E+03
104166-104456	2.52E+05	2.43E+05	2.91E+05	2.81E+05
104166-104456	2.72E+05	2.44E+05	3.02E+05	2.89E+05
104166-104456	2.53E+05	2.28E+05	3.10E+05	2.84E+05
104166-104456	2.58E+05	2.21E+05	3.06E+05	2.70E+05
1041845-1042699	4.18E+03	3.83E+03	5.15E+03	5.19E+03
1041845-1042699	3.86E+03	3.62E+03	5.42E+03	4.89E+03
1041845-1042699	4.13E+03	3.74E+03	4.95E+03	4.15E+03
1041845-1042699	4.41E+03	3.93E+03	5.26E+03	4.93E+03
1042904-1043884	3.16E+03	2.24E+03	2.73E+03	3.13E+03
1042904-1043884	2.31E+03	2.31E+03	3.27E+03	2.91E+03
1042904-1043884	2.82E+03	2.17E+03	3.38E+03	3.62E+03
1042904-1043884	2.56E+03	2.25E+03	2.79E+03	3.08E+03
1044087-1044536	1.25E+03	1.17E+03	9.48E+02	7.80E+02
1044087-1044536	9.30E+02	1.10E+03	9.99E+02	7.56E+02
1044087-1044536	1.27E+03	1.21E+03	8.45E+02	8.42E+02
1044087-1044536	1.15E+03	1.12E+03	7.93E+02	8.22E+02
104486-105316	1.93E+05	2.08E+05	1.76E+05	1.54E+05
104486-105316	1.76E+05	2.01E+05	1.65E+05	1.54E+05
104486-105316	1.75E+05	2.24E+05	1.76E+05	1.41E+05
104486-105316	1.64E+05	2.09E+05	1.73E+05	1.69E+05
1045819-1046631	9.80E+03	8.78E+03	1.37E+04	1.20E+04
1045819-1046631	1.15E+04	8.74E+03	1.40E+04	1.07E+04
1045819-1046631	1.19E+04	9.67E+03	1.30E+04	1.17E+04
1045819-1046631	1.16E+04	9.00E+03	1.37E+04	1.18E+04
1046780-1047463	9.18E+03	6.67E+03	1.18E+04	1.07E+04
1046780-1047463	9.03E+03	6.61E+03	1.13E+04	9.98E+03
1046780-1047463	8.17E+03	6.42E+03	1.06E+04	9.69E+03
1046780-1047463	8.36E+03	6.72E+03	1.17E+04	1.07E+04
1047464-1048540	1.00E+04	8.69E+03	1.05E+04	1.00E+04
1047464-1048540	1.01E+04	9.19E+03	1.16E+04	1.06E+04
1047464-1048540	9.67E+03	8.81E+03	1.15E+04	1.05E+04
1047464-1048540	1.01E+04	9.01E+03	1.25E+04	1.14E+04
1048546-1049103	1.93E+04	1.52E+04	1.95E+04	1.88E+04
1048546-1049103	1.88E+04	1.56E+04	1.88E+04	1.83E+04
1048546-1049103	1.84E+04	1.54E+04	1.81E+04	1.81E+04
1048546-1049103	1.69E+04	1.35E+04	1.71E+04	1.83E+04
105351-105632	3.05E+05	2.69E+05	2.97E+05	2.94E+05
105351-105632	2.87E+05	2.45E+05	3.17E+05	2.81E+05
105351-105632	2.83E+05	2.53E+05	3.11E+05	2.87E+05
105351-105632	2.87E+05	2.51E+05	2.88E+05	2.81E+05
1056435-1058015	1.02E+04	7.34E+03	1.19E+04	1.09E+04
1056435-1058015	1.22E+04	7.83E+03	1.31E+04	1.14E+04
1056435-1058015	1.33E+04	8.46E+03	1.34E+04	1.13E+04
1056435-1058015	1.36E+04	9.16E+03	1.39E+04	1.13E+04
105664-105999	2.29E+05	2.23E+05	2.26E+05	2.00E+05
105664-105999	1.79E+05	2.22E+05	2.25E+05	2.11E+05
105664-105999	1.99E+05	2.26E+05	2.24E+05	2.17E+05
105664-105999	2.17E+05	2.26E+05	2.26E+05	2.13E+05
1058187-1058633	1.15E+04	1.06E+04	1.09E+04	1.11E+04
1058187-1058633	1.10E+04	8.79E+03	1.17E+04	1.12E+04
1058187-1058633	9.82E+03	9.64E+03	1.24E+04	1.09E+04
1058187-1058633	1.01E+04	9.35E+03	1.18E+04	1.11E+04
1058654-1059697	3.05E+04	2.11E+04	2.95E+04	2.66E+04
1058654-1059697	3.46E+04	2.18E+04	3.02E+04	2.67E+04
1058654-1059697	2.88E+04	2.21E+04	2.77E+04	2.60E+04
1058654-1059697	3.40E+04	2.37E+04	2.96E+04	2.48E+04
106022-106837	2.39E+05	2.40E+05	3.11E+05	2.83E+05
